#AFFY	Barcode
1553479_at	0
1553482_at	0
1553483_at	0
1553484_at	0
1553485_at	0
1553486_a_at	0
1553488_at	0
1553489_a_at	0
1553491_at	0
1553492_a_at	0
1553493_a_at	0
1553494_at	0
1553497_at	0
1553498_at	0
1553499_s_at	0
1553500_at	0
1553502_a_at	0
1553504_at	0
1553505_at	0
1553506_at	0
1553507_a_at	0
1553508_at	0
1553510_s_at	0
1553511_at	0
1553512_at	0
1553513_at	0
1553514_a_at	0
1553515_at	0
1553517_at	0
1553518_at	0
1553519_at	0
1553521_at	0
1553523_at	0
1553524_at	0
1553525_at	0
1553526_at	0
1553527_at	0
1553528_a_at	0
1553529_at	0
1553530_a_at	1
1553531_at	0
1553532_a_at	0
1553533_at	0
1553534_at	0
1553535_a_at	0
1553536_at	0
1553537_at	0
1553538_s_at	1
1553539_at	0
1553540_a_at	0
1553541_at	0
1553542_at	0
1553544_at	0
1553545_at	0
1553546_at	0
1553547_at	1
1553549_at	0
1553550_at	0
1553551_s_at	1
1553552_at	0
1553553_at	0
1553555_at	0
1553556_at	0
1553558_at	0
1553559_at	0
1553560_at	0
1553561_at	0
1553562_at	0
1553564_at	0
1553565_s_at	1
1553566_at	0
1553567_s_at	1
1553568_a_at	0
1553569_at	1
1553570_x_at	1
1553572_a_at	0
1553573_s_at	0
1553574_at	0
1553575_at	1
1553579_a_at	0
1553581_s_at	1
1553582_a_at	0
1553583_a_at	0
1553584_at	0
1553585_a_at	0
1553586_at	0
1553587_a_at	0
1553588_at	1
1553589_a_at	0
1553590_at	1
1553591_at	0
1553592_x_at	0
1553593_a_at	0
1553594_a_at	0
1553599_a_at	0
1553600_at	0
1553601_a_at	0
1553602_at	0
1553603_s_at	0
1553604_at	0
1553605_a_at	0
1553607_at	0
1553608_a_at	0
1553611_s_at	0
1553612_at	0
1553613_s_at	0
1553614_a_at	0
1553618_at	0
1553619_a_at	0
1553620_at	0
1553622_a_at	0
1553623_at	0
1553625_at	0
1553626_a_at	0
1553627_s_at	0
1553629_a_at	0
1553630_at	0
1553633_s_at	0
1553634_a_at	0
1553635_s_at	0
1553636_at	0
1553637_s_at	0
1553639_a_at	0
1553640_at	0
1553641_a_at	0
1553642_at	0
1553644_at	0
1553645_at	0
1553646_at	0
1553647_at	0
1553651_at	0
1553652_a_at	0
1553654_at	0
1553655_at	0
1553656_at	0
1553657_at	0
1553658_at	0
1553660_at	0
1553661_a_at	0
1553663_a_at	0
1553666_at	0
1553668_at	0
1553670_at	1
1553672_at	1
1553673_at	0
1553674_at	0
1553675_at	0
1553677_a_at	0
1553678_a_at	0
1553679_s_at	0
1553681_a_at	0
1553682_at	0
1553683_s_at	0
1553684_at	0
1553685_s_at	0
1553686_at	1
1553688_at	0
1553689_s_at	1
