#Ensembl Gene ID	Tumor Type
ENSG00000142676	Brain
ENSG00000142733	Brain
ENSG00000142784	Brain
ENSG00000142949	Brain
ENSG00000143067	Brain
ENSG00000143079	Brain
ENSG00000143164	Brain
ENSG00000143190	Brain
ENSG00000143278	Brain
ENSG00000143294	Brain
ENSG00000143297	Brain
ENSG00000143318	Brain
ENSG00000143319	Brain
ENSG00000143322	Brain
ENSG00000143373	Brain
ENSG00000143398	Brain
ENSG00000143420	Brain
ENSG00000143437	Brain
ENSG00000143466	Brain
ENSG00000143473	Brain
ENSG00000143479	Brain
ENSG00000143537	Brain
ENSG00000143552	Brain
ENSG00000143569	Brain
ENSG00000143595	Brain
ENSG00000143633	Brain
ENSG00000143669	Brain
ENSG00000143674	Brain
ENSG00000143772	Brain
ENSG00000143839	Brain
ENSG00000143842	Brain
ENSG00000143924	Brain
ENSG00000144029	Brain
ENSG00000144036	Brain
ENSG00000144152	Brain
ENSG00000144229	Brain
ENSG00000144233	Brain
ENSG00000144278	Brain
ENSG00000144369	Brain
ENSG00000144452	Brain
ENSG00000144460	Brain
ENSG00000144504	Brain
ENSG00000144535	Brain
ENSG00000144554	Brain
ENSG00000144567	Brain
ENSG00000144597	Brain
ENSG00000144619	Brain
ENSG00000144642	Brain
ENSG00000144674	Brain
ENSG00000144821	Brain
ENSG00000144837	Brain
ENSG00000144857	Brain
ENSG00000145016	Brain
ENSG00000145242	Brain
ENSG00000145248	Brain
ENSG00000145362	Brain
ENSG00000145391	Brain
ENSG00000145423	Brain
ENSG00000145604	Brain
ENSG00000145675	Brain
ENSG00000145703	Brain
ENSG00000145863	Brain
ENSG00000145888	Brain
ENSG00000145934	Brain
ENSG00000146247	Brain
ENSG00000146267	Brain
ENSG00000146282	Brain
ENSG00000146350	Brain
ENSG00000146477	Brain
ENSG00000146648	Brain
ENSG00000146701	Brain
ENSG00000146802	Brain
ENSG00000146830	Brain
ENSG00000146839	Brain
ENSG00000147050	Brain
ENSG00000147081	Brain
ENSG00000147133	Brain
ENSG00000147138	Brain
ENSG00000147255	Brain
ENSG00000147316	Brain
ENSG00000147381	Brain
ENSG00000147408	Brain
ENSG00000147471	Brain
ENSG00000147507	Brain
ENSG00000147573	Brain
ENSG00000147889	Brain
ENSG00000148337	Brain
ENSG00000148400	Brain
ENSG00000148426	Brain
ENSG00000148484	Brain
ENSG00000148516	Brain
ENSG00000148584	Brain
ENSG00000148773	Brain
ENSG00000148840	Brain
